1	27250
2	25636
3	31573
4	24073
5	25848
6	20076
7	18261
8	15520
9	13972
10	11599
11	10328
12	8834
13	7389
14	6531
15	5486
16	4772
17	3954
18	3492
19	3112
20	2634
21	2228
22	1984
23	1753
24	1428
25	1260
26	1186
27	1028
28	947
29	855
30	682
31	592
32	557
33	511
34	442
35	445
36	327
37	327
38	297
39	251
40	230
41	243
42	207
43	233
44	193
45	189
46	150
47	146
48	128
49	143
50	128
51	130
52	124
53	112
54	99
55	82
56	102
57	102
58	76
59	78
60	82
61	80
62	64
63	63
64	72
65	62
66	55
67	59
68	57
69	52
70	57
71	77
72	65
73	63
74	66
75	44
76	47
77	46
78	48
79	35
80	29
81	42
82	38
83	29
84	34
85	35
86	42
87	40
88	39
89	36
90	26
91	28
92	30
93	30
94	35
95	19
96	35
97	31
98	45
99	28
100	22
101	27
102	16
103	13
104	15
105	13
106	17
107	18
108	19
109	12
110	18
111	14
112	13
113	14
114	9
115	6
116	9
117	11
118	7
119	8
120	8
121	5
122	9
123	11
124	4
125	8
126	9
127	1
128	3
129	11
130	8
131	3
132	4
133	5
134	5
135	3
136	2
137	1
138	3
139	1
140	5
141	1
142	5
143	4
144	1
145	2
146	5
147	0
148	0
149	3
150	1
151	1
152	1
153	3
154	2
155	4
156	1
157	3
158	2
159	1
160	0
161	0
162	1
163	2
164	0
165	2
166	3
167	0
168	0
169	1
170	1
171	0
172	1
173	1
174	3
175	0
176	0
177	1
178	4
179	2
180	0
181	2
182	0
183	0
184	2
185	1
186	0
187	1
188	2
189	0
190	0
191	0
192	1
193	1
194	2
195	0
196	0
197	1
198	0
199	0
200	0
201	0
202	0
203	0
204	0
205	2
206	0
207	0
208	0
209	0
210	0
211	0
212	0
213	0
214	0
215	0
216	0
217	0
218	0
219	0
220	0
221	0
222	0
223	0
224	1
225	1
226	0
227	0
228	0
229	0
230	0
231	1
232	0
233	0
234	0
235	0
236	2
237	0
238	0
239	0
240	0
241	0
242	1
243	0
244	1
245	0
246	0
247	0
248	0
249	0
250	0
251	0
252	0
253	0
254	0
255	0
256	0
257	0
258	0
259	0
260	0
261	0
262	0
263	0
264	0
265	0
266	0
267	0
268	0
269	0
270	0
271	0
272	0
273	0
274	0
275	0
276	0
277	0
278	0
279	1
280	1
281	0
282	0
283	1
284	0
285	0
286	0
287	0
288	0
289	0
290	0
291	0
292	0
293	0
294	0
295	0
296	0
297	0
298	0
299	0
300	0
301	0
302	0
303	0
304	0
305	0
306	0
307	0
308	0
309	0
310	0
311	0
312	0
313	0
314	0
315	0
316	0
317	0
318	0
319	0
320	1
321	0
322	0
323	0
324	0
325	0
326	0
327	0
328	0
329	1
330	1
331	0
332	0
333	0
334	0
335	0
336	0
337	0
338	0
339	0
340	0
341	0
342	0
343	0
344	0
345	0
346	0
347	0
348	0
349	0
350	0
351	0
352	0
353	0
354	0
355	0
356	0
357	0
358	0
359	0
360	0
361	0
362	1
